surah,positions,rule_aware_calls,rule_agnostic_calls,call_reduction_percent,duration_calls,transition_calls,burst_calls
1,7,56,21,-166.67,56,0,0
10,110,3560,330,-978.79,2744,540,276
100,12,132,36,-266.67,96,8,28
101,12,84,36,-133.33,64,8,12
102,9,64,27,-137.04,64,0,0
103,4,32,12,-166.67,24,4,4
104,10,52,30,-73.33,48,0,4
105,6,52,18,-188.89,40,8,4
106,5,60,15,-300.0,52,4,4
107,8,52,24,-116.67,48,4,0
108,4,28,12,-133.33,24,0,4
109,7,80,21,-280.95,64,8,8
11,124,4040,372,-986.02,3128,516,396
110,4,28,12,-133.33,24,0,4
111,6,68,18,-277.78,40,4,24
112,5,36,15,-140.0,16,0,20
113,6,56,18,-211.11,20,16,20
114,7,68,21,-223.81,64,4,0
12,112,3824,336,-1038.1,3036,428,360
13,44,1696,132,-1184.85,1276,248,172
14,53,1664,159,-946.54,1180,308,176
15,100,1624,300,-441.33,1300,132,192
16,129,3544,387,-815.76,2720,564,260
17,112,2672,336,-695.24,1908,368,396
18,111,2676,333,-703.6,1884,488,304
19,99,1668,297,-461.62,1192,276,200
2,287,11504,861,-1236.12,8660,2028,816
20,136,2292,408,-461.76,1684,292,316
21,113,2848,339,-740.12,2180,436,232
22,79,2596,237,-995.36,2008,348,240
23,119,2332,357,-553.22,1828,340,164
24,65,2564,195,-1214.87,2004,388,172
25,78,1388,234,-493.16,1028,220,140
26,228,2808,684,-310.53,2304,312,192
27,94,2440,282,-765.25,1880,408,152
28,89,2952,267,-1005.62,2312,376,264
29,70,2052,210,-877.14,1636,296,120
3,201,6552,603,-986.57,4848,1212,492
30,61,1804,183,-885.79,1308,320,176
31,35,1056,105,-905.71,800,168,88
32,31,804,93,-764.52,620,132,52
33,74,2220,222,-900.0,1692,324,204
34,55,1752,165,-961.82,1296,260,196
35,46,1524,138,-1004.35,1132,288,104
36,84,1604,252,-536.51,1224,264,116
37,183,2260,549,-311.66,1844,192,224
38,89,1820,267,-581.65,1280,216,324
39,76,2264,228,-892.98,1732,344,188
4,177,6392,531,-1103.77,4744,1156,492
40,86,2424,258,-839.53,1792,300,332
41,55,1652,165,-901.21,1276,264,112
42,54,1668,162,-929.63,1304,252,112
43,90,1984,270,-634.81,1556,284,144
44,60,932,180,-417.78,748,108,76
45,38,972,114,-752.63,808,104,60
46,36,1248,108,-1055.56,952,196,100
47,39,992,117,-747.86,736,168,88
48,30,780,90,-766.67,540,152,88
49,19,672,57,-1078.95,540,92,40
5,121,5280,363,-1354.55,3988,876,416
50,46,940,138,-581.16,584,120,236
51,61,832,183,-354.64,648,104,80
52,50,716,150,-377.33,560,100,56
53,63,612,189,-223.81,396,128,88
54,56,668,168,-297.62,436,116,116
55,79,880,237,-271.31,708,100,72
56,97,1112,291,-282.13,888,148,76
57,30,1112,90,-1135.56,792,196,124
58,23,872,69,-1163.77,668,116,88
59,25,852,75,-1036.0,700,112,40
6,166,5912,498,-1087.15,4464,984,464
60,14,668,42,-1490.48,472,132,64
61,15,436,45,-868.89,328,76,32
62,12,320,36,-788.89,252,60,8
63,12,336,36,-833.33,284,40,12
64,19,448,57,-685.96,364,60,24
65,13,596,39,-1428.21,436,92,68
66,13,524,39,-1243.59,400,84,40
67,31,668,93,-618.28,484,128,56
68,53,768,159,-383.02,608,68,92
69,53,540,159,-239.62,432,68,40
7,207,6740,621,-985.35,5180,1000,560
70,45,456,135,-237.78,368,36,52
71,29,376,87,-332.18,272,60,44
72,29,584,87,-571.26,488,44,52
73,21,324,63,-414.29,212,76,36
74,57,460,171,-169.01,376,36,48
75,41,264,123,-114.63,200,36,28
76,32,516,96,-437.5,344,108,64
77,51,500,153,-226.8,424,48,28
78,41,312,123,-153.66,256,40,16
79,47,364,141,-158.16,284,44,36
8,76,2224,228,-875.44,1652,408,164
80,43,284,129,-120.16,212,44,28
81,30,196,90,-117.78,148,32,16
82,20,172,60,-186.67,140,20,12
83,37,436,111,-292.79,384,28,24
84,26,224,78,-187.18,168,24,32
85,23,316,69,-357.97,212,12,92
86,18,168,54,-211.11,96,24,48
87,20,104,60,-73.33,76,8,20
88,27,120,81,-48.15,88,28,4
89,31,296,93,-218.28,204,20,72
9,129,4408,387,-1039.02,3360,772,276
90,21,204,63,-223.81,112,24,68
91,16,112,48,-133.33,80,12,20
92,22,104,66,-57.58,72,20,12
93,12,56,36,-55.56,36,12,8
94,9,40,27,-48.15,20,12,8
95,9,100,27,-270.37,76,4,20
96,20,136,60,-126.67,52,32,52
97,6,68,18,-277.78,40,8,20
98,9,152,27,-462.96,124,20,8
99,9,60,27,-122.22,48,12,0
