model,audio_path,duration_sec,transcription_time_sec,speed_ratio,pred_text,pred_len,status,error
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil025_segment_001.wav,0.737,0.8883784000063315,1.2053981004156467,مرحبا,5,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil025_segment_002.wav,4.711,0.5112046000140253,0.10851296964848765,الحمد لله رب العالمين,21,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil025_segment_003.wav,3.885,0.4294002999959048,0.11052774774669365,الرحمن الرحيم,13,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil025_segment_004.wav,3.461,0.4060344999888912,0.1173171048797721,ملك يوم الدين,13,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil025_segment_005.wav,4.907,0.6281673000194132,0.12801453026684598,اياك نعبد واياك نستعين,22,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil025_segment_006.wav,6.642,0.8201989000081085,0.12348673592413556,اهدنا الصراط المستقيم صراط الذين انعمت عليهم,44,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil025_segment_007.wav,3.558,0.5888070000219159,0.16548819562167394,غير المغضوب عليهم ولا اطلع,26,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil025_segment_008.wav,4.079,0.32519570001750253,0.07972436872211389,فالين,5,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil025_segment_009.wav,0.72,0.42696469998918474,0.5930065277627566,مرحبا,5,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil035_segment_001.wav,0.737,0.37373330001719296,0.5071008141345902,مرحبا,5,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil035_segment_002.wav,4.711,0.516147100017406,0.10956210995911823,الحمد لله رب العالمين,21,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil035_segment_003.wav,3.885,0.4293029000109527,0.1105026769654962,الرحمن الرحيم,13,ok,
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\sweep_db30_sil035_segment_004.wav,3.461,0.40439270000206307,0.11684273331466717,ملك يوم الدين,13,ok,
