model,audio_path,surah,ayah,gold_text,pred_text,gold_compact,pred_compact,cer,char_accuracy,edit_distance,exact,accepted_segment,duration_sec,transcription_time_sec
openai/whisper-medium,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_001.wav,2,1,الم,الف لا ميم,الم,الم,0.0,1.0,0,True,True,4.083,1.9798426000052132
openai/whisper-medium,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_002.wav,2,2,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلكالكتابلاريبفيههديللمتقين,ذلكالكتابلاريبفيههديللمتقين,0.0,1.0,0,True,True,5.138,0.8857524000050034
openai/whisper-medium,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_003.wav,2,3,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم يوفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهميوفقون,0.02127659574468085,0.9787234042553191,1,False,True,7.411,1.2169015999970725
openai/whisper-medium,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_004.wav,2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبل خيره ام يوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبلخيرهاميوقنون,0.07692307692307693,0.9230769230769231,4,False,False,11.972,2.780136200002744
openai/whisper-medium,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_005.wav,2,5,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئك علي هدا من ربهم واولئك هم المفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,اولئكعليهدامنربهمواولئكهمالمفلحون,0.030303030303030304,0.9696969696969697,1,False,True,9.076,1.0383376000099815
openai/whisper-medium,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_001.wav,2,1,الم,الف لام,الم,الم,0.0,1.0,0,True,True,4.055,0.5167398999910802
openai/whisper-medium,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_002.wav,2,2,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلك الكتاب لا ريب فيه هدا للمتقين,ذلكالكتابلاريبفيههديللمتقين,ذلكالكتابلاريبفيههداللمتقين,0.037037037037037035,0.962962962962963,1,False,True,6.416,0.9175710999988951
openai/whisper-medium,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_003.wav,2,3,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذين يؤمنون بالغيب ويوقيمون الصلاه ومما رزقناهم ينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,الذينيؤمنونبالغيبويوقيمونالصلاهوممارزقناهمينفقون,0.02127659574468085,0.9787234042553191,1,False,True,9.517,1.214054700001725
openai/whisper-medium,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_004.wav,2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,واللذين يؤمنون بما ان زل اليك وما انزل ميهم قبلك، وبن اخره هم يوقنهون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,واللذينيؤمنونبماانزلاليكوماانزلميهمقبلك،وبناخرههميوقنهون,0.15384615384615385,0.8461538461538461,8,False,False,12.54,3.045212899989565
openai/whisper-medium,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_005.wav,2,5,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,0.0,1.0,0,True,True,8.844,1.0549673999921652
openai/whisper-medium,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_001.wav,2,1,الم,الافلام,الم,الافلام,1.3333333333333333,0.0,4,False,False,4.934,0.517221400004928
openai/whisper-medium,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_002.wav,2,2,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلكالكتابلاريبفيههديللمتقين,ذلكالكتابلاريبفيههديللمتقين,0.0,1.0,0,True,True,7.315,0.917586499999743
